地區,大廈名單,個案最後到訪日期,相關個案編號
東區,鯉魚門公園及度假村,,13056
葵青,香港荃灣帝盛酒店,,13057
南區,嘉隆苑嘉昇閣,,13059
東區,鯉魚門公園及度假村,,13062
深水埗,元州街450-464號寶華閣,,13063
離島,竹篙灣檢疫中心,,13063
深水埗,大坑東邨東滿樓,,13064
離島,竹篙灣檢疫中心,,13064
深水埗,元州街450-464號寶華閣,,13065
離島,竹篙灣檢疫中心,,13065
深水埗,元州街450-464號寶華閣,,13066
離島,竹篙灣檢疫中心,,13066
深水埗,大坑東邨東滿樓,,13067
離島,竹篙灣檢疫中心,,13067
深水埗,元州街450-464號寶華閣,,13068
離島,竹篙灣檢疫中心,,13068
深水埗,大坑東邨東滿樓,,13069
離島,竹篙灣檢疫中心,,13069
深水埗,大坑東邨東滿樓,,13070
離島,竹篙灣檢疫中心,,13070
深水埗,大坑東邨東滿樓,,13071
離島,竹篙灣檢疫中心,,13071
深水埗,美孚新邨3期百老匯街72-74號,,13072
南區,嘉隆苑嘉昇閣,,13073
深水埗,大坑東邨東滿樓,,13074
深水埗,大坑東邨東滿樓,,13075
九龍城,富薈馬頭圍酒店,,13076
灣仔,銅鑼灣皇悦酒店,,13077
九龍城,富豪東方酒店,,13078
離島,映灣園1期賞濤軒1座,,13079
離島,富豪機場酒店,,13083
深水埗,元州街450-464號寶華閣,,13084
離島,竹篙灣檢疫中心,,13084
葵青,葵涌邨逸葵樓,,13085
離島,竹篙灣檢疫中心,,13086
離島,竹篙灣檢疫中心,,13087
觀塘,凱匯第3座,,13088
葵青,葵涌邨逸葵樓,,13090
離島,映灣園1期賞濤軒1座,,13091
荃灣,恆麗園6座,,13092
沙田,錦豐苑錦蓉閣,,13093
灣仔,港島英迪格酒店,,13095
九龍城,奧斯酒店,,13096
離島,映灣園2期賞濤軒7座,,13097
離島,映灣園2期賞濤軒7座,,13098
離島,映灣園2期賞濤軒7座,,13099
葵青,長康邨康貴樓,,13100
深水埗,富昌邨富悅樓,,13101
深水埗,長沙灣邨長欣樓,,13103
葵青,葵涌邨逸葵樓,,13104
荃灣,名逸居1座,,13107
東區,明華大廈1座,,13108
南區,香港仔中心港昌閣,,13110
葵青,葵涌邨逸葵樓,,13111
離島,竹篙灣檢疫中心,,13111
深水埗,美孚新邨3期百老匯街72-74號,,13112
離島,竹篙灣檢疫中心,,13112
葵青,葵涌邨逸葵樓,,13113
離島,竹篙灣檢疫中心,,13113
離島,老圍村,,13114
離島,富豪機場酒店,,13115
葵青,葵涌邨逸葵樓,,13116
葵青,葵涌邨逸葵樓,,13117
南區,嘉隆苑嘉昇閣,,13118
離島,竹篙灣檢疫中心,,13118
元朗,天盛苑盛謙閣,,13120
離島,竹篙灣檢疫中心,,13120
離島,映灣園1期賞濤軒1座,,13121
離島,竹篙灣檢疫中心,,13121
深水埗,美孚新邨3期百老匯街72-74號,,13122
離島,竹篙灣檢疫中心,,13122
